"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","02-Jan-2019","        719.10","        719.15","        729.70","        709.25","        712.15","        712.05","        719.31","    2576769","          1853490296.80","      51794","     785308","         30.48"
"TECHM","EQ","03-Jan-2019","        712.05","        715.05","        716.00","        685.25","        693.00","        691.25","        696.60","    3558015","          2478518160.85","     104275","    1468701","         41.28"
"TECHM","EQ","04-Jan-2019","        691.25","        694.45","        697.05","        672.50","        681.40","        681.10","        681.34","    3926171","          2675046533.35","     132075","    1390485","         35.42"
"TECHM","EQ","07-Jan-2019","        681.10","        685.00","        690.85","        682.55","        687.55","        687.50","        686.78","    1885000","          1294588954.05","      45054","     968848","         51.40"
"TECHM","EQ","08-Jan-2019","        687.50","        688.00","        692.40","        685.20","        688.05","        689.85","        688.44","    1300906","           895595055.40","      34311","     596807","         45.88"
"TECHM","EQ","09-Jan-2019","        689.85","        694.20","        701.40","        684.00","        692.80","        693.70","        695.44","    2183998","          1518839330.65","      61453","     665410","         30.47"
"TECHM","EQ","10-Jan-2019","        693.70","        695.00","        696.95","        689.15","        693.20","        694.55","        693.33","    1454656","          1008550548.10","      42807","     832504","         57.23"
"TECHM","EQ","11-Jan-2019","        694.55","        694.00","        701.25","        687.00","        697.85","        699.20","        694.36","    1849817","          1284434367.70","      70712","    1044018","         56.44"
"TECHM","EQ","14-Jan-2019","        699.20","        703.00","        703.10","        676.90","        679.85","        679.85","        685.71","    1558602","          1068755959.45","      51187","     690054","         44.27"
"TECHM","EQ","15-Jan-2019","        679.85","        682.95","        710.80","        682.05","        706.00","        706.25","        698.31","    2491520","          1739847434.45","      60016","     837876","         33.63"
"TECHM","EQ","16-Jan-2019","        706.25","        705.00","        705.00","        697.00","        700.05","        699.90","        699.73","    1922647","          1345340980.65","      63642","     962584","         50.07"
"TECHM","EQ","17-Jan-2019","        699.90","        699.50","        709.10","        696.00","        705.00","        705.55","        703.95","    1434040","          1009497074.45","      42846","     456143","         31.81"
"TECHM","EQ","18-Jan-2019","        705.55","        705.00","        714.20","        702.35","        708.40","        709.15","        708.76","    1888004","          1338136986.55","      70376","     878054","         46.51"
"TECHM","EQ","21-Jan-2019","        709.15","        710.35","        721.40","        709.00","        712.55","        713.90","        716.84","    2586962","          1854447995.15","      55246","    1348194","         52.11"
"TECHM","EQ","22-Jan-2019","        713.90","        714.00","        720.00","        701.80","        715.65","        714.20","        709.52","    2839669","          2014797485.10","      74701","    1763577","         62.11"
"TECHM","EQ","23-Jan-2019","        714.20","        714.00","        725.90","        711.00","        721.00","        720.70","        721.22","    1965283","          1417402774.55","      56304","     812632","         41.35"
"TECHM","EQ","24-Jan-2019","        720.70","        724.00","        730.00","        716.50","        728.00","        727.75","        724.18","    1849102","          1339079972.95","      55476","     683360","         36.96"
"TECHM","EQ","25-Jan-2019","        727.75","        732.00","        735.20","        724.00","        731.00","        729.05","        730.89","    2528541","          1848075916.65","      58120","    1269669","         50.21"
"TECHM","EQ","28-Jan-2019","        729.05","        732.20","        738.00","        721.15","        734.50","        735.15","        731.56","    1804582","          1320155865.45","      56888","     677968","         37.57"
"TECHM","EQ","29-Jan-2019","        735.15","        735.20","        742.40","        721.40","        733.50","        731.50","        730.97","    3100457","          2266348236.80","      84475","    1456969","         46.99"
"TECHM","EQ","30-Jan-2019","        731.50","        732.00","        733.40","        711.75","        717.20","        714.60","        719.95","    2139900","          1540619238.75","      62090","    1059727","         49.52"
"TECHM","EQ","31-Jan-2019","        714.60","        718.00","        736.70","        718.00","        730.50","        731.90","        731.25","    3253640","          2379219663.50","      82172","    1517510","         46.64"
"TECHM","EQ","01-Feb-2019","        731.90","        732.95","        750.60","        728.00","        749.00","        746.60","        740.70","    2260029","          1673996616.85","      80691","     938818","         41.54"
"TECHM","EQ","04-Feb-2019","        746.60","        749.00","        752.25","        736.60","        751.95","        749.15","        744.52","    1518373","          1130463059.65","      52249","     543080","         35.77"
"TECHM","EQ","05-Feb-2019","        749.15","        752.00","        760.00","        740.20","        758.80","        751.00","        748.28","    2446263","          1830495081.85","      49735","     508979","         20.81"
"TECHM","EQ","06-Feb-2019","        751.00","        784.00","        814.50","        774.00","        812.00","        811.35","        797.73","   14860848","         11854928342.05","     253207","    3536240","         23.80"
"TECHM","EQ","07-Feb-2019","        811.35","        809.00","        816.20","        798.10","        805.70","        805.00","        805.43","    4966655","          4000271200.60","     118997","    1896487","         38.18"
"TECHM","EQ","08-Feb-2019","        805.00","        800.00","        818.00","        800.00","        805.30","        805.55","        809.48","    5242725","          4243881338.95","     155976","    2682335","         51.16"
"TECHM","EQ","11-Feb-2019","        805.55","        809.00","        813.90","        804.00","        809.30","        809.40","        808.69","    2541742","          2055484928.80","      78420","    1300890","         51.18"
"TECHM","EQ","12-Feb-2019","        809.40","        809.90","        814.90","        796.45","        805.00","        805.15","        802.70","    2416559","          1939773449.35","      77958","    1063984","         44.03"
"TECHM","EQ","13-Feb-2019","        805.15","        805.00","        811.10","        797.80","        809.55","        809.70","        806.37","    2032331","          1638818254.90","      81629","     890105","         43.80"
"TECHM","EQ","14-Feb-2019","        809.70","        805.80","        811.75","        800.40","        805.90","        805.90","        807.32","    2464657","          1989765476.70","      74395","    1390452","         56.42"
"TECHM","EQ","15-Feb-2019","        805.90","        804.80","        804.80","        777.25","        802.10","        799.65","        791.62","    4312334","          3413748153.40","      90145","    2445912","         56.72"
"TECHM","EQ","18-Feb-2019","        799.65","        815.00","        822.00","        800.50","        805.35","        803.45","        809.25","    3851335","          3116702547.60","      83929","     920245","         23.89"
"TECHM","EQ","19-Feb-2019","        803.45","        807.00","        809.00","        788.85","        792.35","        791.00","        795.45","    2372030","          1886821362.95","      48884","     893755","         37.68"
"TECHM","EQ","20-Feb-2019","        791.00","        794.05","        816.25","        785.25","        812.80","        812.40","        801.02","    3340240","          2675590655.85","      84064","    1185975","         35.51"
"TECHM","EQ","21-Feb-2019","        812.40","        814.00","        840.00","        809.10","        821.65","        820.65","        827.01","   14193982","         11738555073.45","     223955","    4602134","         32.42"
"TECHM","EQ","22-Feb-2019","        820.65","        824.90","        829.75","        818.10","        825.00","        826.00","        824.21","    4789937","          3947915952.45","     120167","    1974649","         41.22"
"TECHM","EQ","25-Feb-2019","        826.00","        830.20","        832.90","        822.50","        832.25","        830.65","        827.76","    2881535","          2385208427.00","      91580","    1458248","         50.61"
"TECHM","EQ","26-Feb-2019","        830.65","        825.00","        838.40","        820.60","        833.65","        833.30","        831.07","    3319590","          2758821719.90","      87586","    1465593","         44.15"
"TECHM","EQ","27-Feb-2019","        833.30","        836.40","        837.95","        820.60","        825.00","        825.60","        827.78","    3703224","          3065440377.85","      83746","    1807812","         48.82"
"TECHM","EQ","28-Feb-2019","        825.60","        833.00","        838.40","        825.00","        827.90","        830.15","        830.78","    6409662","          5325026977.50","     100267","    4389043","         68.48"
"TECHM","EQ","01-Mar-2019","        830.15","        831.00","        836.50","        829.10","        831.00","        831.80","        832.10","    3820707","          3179215948.00","      95357","    2480084","         64.91"
"TECHM","EQ","05-Mar-2019","        831.80","        822.50","        824.70","        808.05","        810.80","        810.00","        813.17","    4927644","          4007002128.70","     148946","    2373390","         48.16"
"TECHM","EQ","06-Mar-2019","        810.00","        812.00","        829.70","        812.00","        824.60","        823.55","        821.79","    3999053","          3286368741.00","     114541","    1943885","         48.61"
"TECHM","EQ","07-Mar-2019","        823.55","        823.55","        825.45","        806.25","        809.00","        808.25","        813.75","    2306250","          1876715769.45","      57446","    1177325","         51.05"
"TECHM","EQ","08-Mar-2019","        808.25","        810.20","        813.50","        802.60","        810.45","        811.35","        809.56","    1437045","          1163379979.20","      36086","     474211","         33.00"
"TECHM","EQ","11-Mar-2019","        811.35","        812.00","        814.40","        803.00","        808.25","        807.15","        808.12","    2699806","          2181756058.20","      73121","    1417565","         52.51"
"TECHM","EQ","12-Mar-2019","        807.15","        811.00","        813.75","        801.15","        805.70","        804.70","        805.24","    2793702","          2249601713.35","      67139","    1709769","         61.20"
"TECHM","EQ","13-Mar-2019","        804.70","        808.90","        816.00","        788.00","        790.00","        789.95","        797.86","    4815576","          3842139172.80","     116368","    2387913","         49.59"
"TECHM","EQ","14-Mar-2019","        789.95","        792.10","        795.00","        775.00","        790.20","        788.45","        785.05","    3112666","          2443607510.15","      59949","    1522902","         48.93"
"TECHM","EQ","15-Mar-2019","        788.45","        794.00","        807.50","        787.00","        800.50","        799.30","        798.65","    3854238","          3078177015.50","      69455","    1647789","         42.75"
"TECHM","EQ","18-Mar-2019","        799.30","        804.95","        805.70","        782.25","        790.50","        788.60","        794.27","    3379301","          2684074587.75","      97177","    1852201","         54.81"
"TECHM","EQ","19-Mar-2019","        788.60","        793.50","        797.45","        783.25","        794.65","        794.65","        789.00","    2413153","          1903987045.65","      73753","    1432039","         59.34"
"TECHM","EQ","20-Mar-2019","        794.65","        797.00","        806.20","        787.30","        788.50","        789.85","        796.06","    3331375","          2651973857.25","      77754","    1577629","         47.36"
"TECHM","EQ","22-Mar-2019","        789.85","        794.50","        798.00","        783.20","        790.10","        788.75","        788.30","    2815749","          2219648827.20","      95703","    1874384","         66.57"
"TECHM","EQ","25-Mar-2019","        788.75","        792.00","        795.45","        786.40","        788.20","        789.60","        790.31","    1861646","          1471278169.75","      60960","     783459","         42.08"
"TECHM","EQ","26-Mar-2019","        789.60","        790.20","        791.90","        768.15","        769.65","        770.75","        773.59","    3169827","          2452134885.80","      76711","    1379435","         43.52"
"TECHM","EQ","27-Mar-2019","        770.75","        771.00","        773.00","        761.60","        764.50","        764.95","        765.18","    3893738","          2979397272.05","     106994","    2647887","         68.00"
"TECHM","EQ","28-Mar-2019","        764.95","        770.00","        782.00","        768.05","        772.85","        771.70","        775.07","    3908706","          3029513715.60","     106769","    1969521","         50.39"
"TECHM","EQ","29-Mar-2019","        771.70","        778.95","        781.95","        771.00","        776.40","        775.90","        775.34","    2455461","          1903828806.30","      76578","    1387751","         56.52"
"TECHM","EQ","01-Apr-2019","        775.90","        782.85","        794.80","        779.00","        783.85","        785.50","        788.08","    3433947","          2706228103.85","     112564","    1805838","         52.59"
"TECHM","EQ","02-Apr-2019","        785.50","        790.95","        794.00","        785.05","        791.50","        792.45","        789.77","    2596840","          2050895132.25","      56863","    1261524","         48.58"
"TECHM","EQ","03-Apr-2019","        792.45","        792.45","        793.35","        776.25","        777.00","        777.70","        782.23","    1467406","          1147844143.70","      54061","     712150","         48.53"
"TECHM","EQ","04-Apr-2019","        777.70","        777.90","        781.75","        767.25","        775.00","        774.50","        772.02","    1751584","          1352263883.40","      62640","     835240","         47.68"
"TECHM","EQ","05-Apr-2019","        774.50","        779.00","        787.10","        774.50","        778.70","        777.25","        780.75","    1367411","          1067608073.70","      51557","     410436","         30.02"
"TECHM","EQ","08-Apr-2019","        777.25","        779.70","        790.00","        773.40","        788.50","        787.15","        781.45","    1368825","          1069661495.50","      43678","     590075","         43.11"
"TECHM","EQ","09-Apr-2019","        787.15","        790.35","        797.70","        787.30","        788.00","        789.50","        792.46","    2128462","          1686717017.80","      54521","     622600","         29.25"
"TECHM","EQ","10-Apr-2019","        789.50","        786.05","        798.95","        786.00","        790.05","        790.25","        791.44","    2497013","          1976228968.05","      84565","    1418001","         56.79"
"TECHM","EQ","11-Apr-2019","        790.25","        790.40","        795.75","        778.60","        780.00","        780.95","        789.03","    1854222","          1463036177.45","      43815","     884709","         47.71"
"TECHM","EQ","12-Apr-2019","        780.95","        779.00","        786.35","        774.55","        785.95","        785.35","        780.38","    3162714","          2468107990.85","      63394","    1881698","         59.50"
"TECHM","EQ","15-Apr-2019","        785.35","        785.35","        799.40","        785.00","        798.00","        797.20","        796.19","    3317405","          2641289219.85","      63361","    1950250","         58.79"
"TECHM","EQ","16-Apr-2019","        797.20","        799.00","        804.70","        795.15","        797.10","        798.10","        799.56","    1868910","          1494311550.30","      58860","     948729","         50.76"
"TECHM","EQ","18-Apr-2019","        798.10","        804.00","        809.00","        798.10","        800.00","        800.35","        805.36","    6307643","          5079908442.15","      67309","    4487025","         71.14"
"TECHM","EQ","22-Apr-2019","        800.35","        800.70","        810.80","        798.80","        806.00","        805.35","        805.41","    1833972","          1477103226.65","      51827","     737692","         40.22"
"TECHM","EQ","23-Apr-2019","        805.35","        806.50","        807.95","        800.05","        806.40","        804.95","        803.59","    1214892","           976273381.90","      64387","     586131","         48.25"
"TECHM","EQ","24-Apr-2019","        804.95","        807.00","        820.00","        806.00","        818.00","        818.75","        814.67","    2710117","          2207859424.35","      83186","    1320959","         48.74"
"TECHM","EQ","25-Apr-2019","        818.75","        820.00","        827.00","        813.45","        816.00","        816.50","        820.35","    5447101","          4468536960.05","      76442","    4585553","         84.18"
"TECHM","EQ","26-Apr-2019","        816.50","        816.50","        826.85","        816.50","        822.95","        823.25","        822.52","    1996703","          1642323295.25","      88319","    1309691","         65.59"
"TECHM","EQ","30-Apr-2019","        823.25","        825.95","        838.00","        823.10","        835.90","        836.10","        831.68","    2783771","          2315193213.10","      97271","    1595610","         57.32"
